N,P,K,temperature,humidity,ph,rainfall,label
83,44,41,25.76376,81.676699,7.413738,246.431491,rice
71,57,44,20.545822,82.354197,7.202833,215.828911,rice
87,44,40,24.382125,83.476951,6.476234,267.684522,rice
88,53,42,22.47436,81.291266,6.123873,214.427549,rice
62,40,34,22.901881,82.938101,5.465962,214.174772,rice
68,45,40,21.315362,81.52149,6.555427,247.151685,rice
81,39,37,22.46487,81.788424,7.889187,253.361942,rice
77,44,36,25.080071,83.493134,6.995698,244.546782,rice
80,54,37,23.932248,78.412491,6.548192,184.803275,rice
72,33,39,25.771699,79.66635,7.009286,247.064964,rice
88,50,43,24.883859,79.332066,6.097569,203.039375,rice
87,49,36,23.702539,77.799491,6.666204,238.587731,rice
81,42,40,25.790295,80.779124,6.844765,192.135436,rice
90,35,39,23.702389,83.348981,6.761255,244.49702,rice
84,48,39,24.324781,81.487209,7.155863,209.415231,rice
72,43,43,22.525486,82.356022,6.95509,196.08623,rice
83,49,42,23.106473,83.960591,7.100747,251.986964,rice
71,47,44,21.884122,84.389835,6.490232,238.766047,rice
88,60,40,24.583334,81.875552,7.204017,214.80865,rice
80,45,38,21.114714,84.436455,7.533022,272.633008,rice
78,39,39,24.251761,82.165828,6.363433,219.661732,rice
74,48,41,22.694958,80.492683,6.400537,232.899015,rice
91,49,41,24.873995,80.930079,7.401103,239.529577,rice
79,58,37,24.20139,79.335034,6.713895,214.649354,rice
76,54,40,25.913034,80.401359,7.43172,245.191816,rice
77,50,41,24.16924,81.35557,6.600859,217.063334,rice
85,59,48,20.484736,83.446453,7.454771,220.474127,rice
83,37,46,22.892875,85.097386,6.859169,270.153994,rice
84,42,37,21.124788,79.512073,6.916203,202.863591,rice
84,40,39,22.170752,82.707089,7.504123,164.442151,rice
99,44,36,25.417965,80.127021,6.637203,277.106236,rice
76,36,38,24.020054,82.854455,6.376495,300.0,rice
75,52,41,21.881711,81.764044,6.598146,220.652461,rice
73,45,44,21.378052,78.70437,7.00355,177.768535,rice
86,35,38,23.052451,83.670935,6.095408,223.306449,rice
90,39,38,21.053504,80.910999,7.086862,223.985757,rice
79,50,34,21.926176,81.03898,6.557553,226.682132,rice
72,54,40,23.499215,80.074446,7.316516,200.825135,rice
73,63,37,24.848499,80.82229,5.722583,248.227712,rice
86,70,38,23.974018,82.770203,6.446045,246.686207,rice
87,50,37,19.333937,81.65936,6.041089,190.156643,rice
85,39,40,23.486987,82.591592,6.428197,251.577508,rice
74,30,35,23.115254,82.651459,6.91145,289.475179,rice
82,49,36,23.662224,84.377191,6.719348,236.814889,rice
81,40,46,25.585935,81.382985,6.68598,222.554895,rice
82,44,36,19.698819,79.341656,6.728367,228.02391,rice
88,42,37,22.054235,83.921,6.891525,249.227189,rice
82,46,46,23.94545,81.403321,6.346159,183.541195,rice
86,56,49,20.469449,84.006266,7.118082,236.60294,rice
81,48,36,25.361518,82.690079,7.0982,221.067009,rice
83,46,39,23.589371,81.763952,6.973267,283.7391,rice
86,39,41,24.354534,82.627797,7.05044,227.123163,rice
67,34,45,22.08649,85.511823,6.933388,278.700853,rice
77,43,37,24.302022,85.738565,7.715783,201.09526,rice
76,47,39,24.709554,82.124886,6.760808,248.443257,rice
74,61,42,23.372605,82.288343,6.661813,240.943207,rice
78,48,41,23.375041,83.937232,6.460913,207.666677,rice
93,55,39,23.432549,80.47781,6.335482,236.967091,rice
72,43,40,21.618648,82.599527,6.239988,265.950527,rice
89,38,36,22.763954,81.953447,6.400041,222.933832,rice
65,39,39,22.755964,82.565035,6.768194,184.625046,rice
77,41,39,23.61343,80.499936,6.950433,231.508241,rice
81,64,41,24.599719,79.138779,6.823014,206.732153,rice
